Country Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,,
Global,,566977818,7274.037876,5569531,71.45425828,387629,6376503,81.80729981,9933,0.127435353,498,,
United States of America,Americas,88920929,26864.114,549747,166.085,0,1015897,306.915,1969,0.595,0,,
India,South-East Asia,43905621,3181.557,138087,10.006,16866,526074,38.121,314,0.023,41,,
Brazil,Americas,33454294,15738.796,164028,77.168,0,676217,318.131,922,0.434,0,,
France,Europe,32499518,49969.001,440822,677.777,0,147938,227.459,667,1.026,0,,
Germany,Europe,30331133,36470.281,552883,664.789,0,143177,172.157,118,0.142,0,,
The United Kingdom,Europe,23213017,34194.113,40955,60.329,0,182727,269.167,171,0.252,0,,
Italy,Europe,20660065,34640.425,514206,862.162,51875,170875,286.504,950,1.593,77,,
Republic of Korea,Western Pacific,19247496,37542.036,459485,896.221,35883,24890,48.548,137,0.267,17,,
Russian Federation,Europe,18538826,12703.529,43982,30.138,6571,382189,261.891,273,0.187,34,,
Türkiye,Europe,15524071,18406.738,0,0,0,99184,117.601,0,0,0,,
Spain,Europe,13204863,27898.022,114387,241.666,0,110187,232.793,810,1.711,0,,
Japan,Western Pacific,11346584,8971.301,1038139,820.816,172673,31885,25.21,291,0.23,33,,
Viet Nam,Western Pacific,10767948,11062.364,7353,7.554,748,43092,44.27,1,0.001,1,,
Argentina,Americas,9465827,20944.053,0,0,0,129202,285.872,0,0,0,,
Australia,Western Pacific,9019965,35372.573,256784,1007.001,0,11032,43.263,450,1.765,0,,
Netherlands,Europe,8305906,47714.292,21892,125.761,0,22456,129.001,26,0.149,0,,
Iran (Islamic Republic of),Eastern Mediterranean,7328153,8724.724,49675,59.142,8831,141684,168.686,185,0.22,34,,
Mexico,Americas,6523019,5059.241,74544,57.816,0,326764,253.438,260,0.202,0,,
Colombia,Americas,6223497,12231.021,0,0,0,140365,275.859,0,0,0,,
Indonesia,South-East Asia,6172390,2256.621,34044,12.446,4048,156916,57.368,57,0.021,14,,
Poland,Europe,6049640,15937.663,16846,44.38,589,116510,306.943,40,0.105,0,,
China,Western Pacific,5467738,371.63,178344,12.122,23621,23297,1.583,453,0.031,73,,
Portugal,Europe,5311631,51589.724,20164,195.845,0,24515,238.104,53,0.515,0,,
Ukraine,Europe,5021612,11482.233,0,0,0,108699,248.547,0,0,0,,
Austria,Europe,4734005,53184.709,79176,889.512,5663,20254,227.546,58,0.652,1,,
Malaysia,Western Pacific,4651651,14372.03,28670,88.581,2720,35914,110.962,59,0.182,3,,
Thailand,South-East Asia,4577593,6558.158,16750,23.997,1740,31189,44.683,176,0.252,32,,
Israel,Europe,4554294,52617.092,41132,475.21,5608,11291,130.448,53,0.612,0,,
Belgium,Europe,4381331,38024.333,11975,103.928,0,32118,278.743,28,0.243,0,,
Greece,Europe,4210771,39284.839,0,0,0,30707,286.484,0,0,0,,
Chile,Americas,4161478,21769.378,24326,127.253,0,59216,309.769,130,0.68,0,,
South Africa,Africa,4002133,6747.971,1502,2.533,0,101943,171.885,21,0.035,0,,
Canada,Americas,3978338,10540.835,0,0,0,42148,111.674,0,0,0,,
Czechia,Europe,3968476,37109.581,15760,147.373,342,40390,377.691,28,0.262,2,,
Switzerland,Europe,3893100,44982.921,6105,70.54,0,13385,154.657,1,0.012,0,,
Peru,Americas,3787887,11488.244,47026,142.625,0,213894,648.717,93,0.282,0,,
Philippines,Western Pacific,3752534,3424.436,19436,17.737,3657,60683,55.377,42,0.038,42,,
Denmark,Europe,3218418,55273.038,14679,252.097,0,6591,113.194,40,0.687,0,,
Romania,Europe,3006756,15555.803,42822,221.545,4094,65857,340.719,44,0.228,4,,
Sweden,Europe,2533978,24536.007,3384,32.767,0,19249,186.384,8,0.077,0,,
Iraq,Eastern Mediterranean,2429833,6040.981,24647,61.277,1949,25290,62.875,20,0.05,4,,
Serbia,Europe,2083861,30084.449,27170,392.25,3472,16215,234.094,46,0.664,9,,
Bangladesh,South-East Asia,2001775,1215.485,4363,2.649,0,29266,17.77,25,0.015,0,,
Hungary,Europe,1951079,19971.071,10255,104.969,0,46736,478.386,40,0.409,0,,
Slovakia,Europe,1812203,33203.466,5957,109.145,153,20198,370.071,26,0.476,1,,
Jordan,Eastern Mediterranean,1709879,16758.371,4763,46.682,4763,14074,137.938,4,0.039,4,,
Georgia,Europe,1675265,41995.275,7812,195.83,0,16854,422.493,7,0.175,0,,
Singapore,Western Pacific,1659156,28359.983,63110,1078.74,6175,1476,25.229,23,0.393,4,,
Ireland,Europe,1639459,33024.047,2963,59.684,0,7620,153.492,16,0.322,0,,
New Zealand,Western Pacific,1559072,32330.914,60670,1258.131,7297,1941,40.251,157,3.256,16,,
Pakistan,Eastern Mediterranean,1550298,701.834,4046,1.832,532,30467,13.793,27,0.012,3,,
Norway,Europe,1453980,27088.185,1068,19.897,0,3596,66.995,0,0,0,,
Kazakhstan,Europe,1422966,7578.358,15580,82.975,2057,19021,101.301,1,0.005,0,,
Morocco,Eastern Mediterranean,1257764,3407.599,6467,17.521,444,16213,43.925,29,0.079,2,,
Bulgaria,Europe,1195372,17195.93,10526,151.421,489,37330,537.008,36,0.518,1,,
Croatia,Europe,1177595,29017.918,9484,233.702,1076,16217,399.614,61,1.503,11,,
Lithuania,Europe,1175998,42088.766,6287,225.011,92,9201,329.302,11,0.394,1,,
Finland,Europe,1171032,21194.029,0,0,0,5012,90.71,0,0,0,,
Lebanon,Eastern Mediterranean,1157682,16961.268,20190,295.805,2022,10509,153.968,20,0.293,3,,
Tunisia,Eastern Mediterranean,1114370,9428.936,27340,231.33,0,28942,244.885,119,1.007,0,,
Cuba,Americas,1107100,9774.323,302,2.666,0,8529,75.301,0,0,0,,
Slovenia,Europe,1071666,51132.494,11282,538.299,720,7886,376.265,8,0.382,0,,
Guatemala,Americas,997980,5570.463,15172,84.686,0,18860,105.272,47,0.262,0,,
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0,,
Bolivia (Plurinational State of),Americas,985630,8443.658,17418,149.216,0,21999,188.46,20,0.171,0,,
Nepal,South-East Asia,984075,3377.429,2281,7.829,453,11957,41.037,3,0.01,1,,
United Arab Emirates,Eastern Mediterranean,982969,9938.615,9553,96.589,1312,2332,23.578,7,0.071,1,,
Uruguay,Americas,967808,27860.772,0,0,0,7387,212.653,0,0,0,,
Costa Rica,Americas,960340,18851.939,0,0,0,8525,167.35,0,0,0,,
Panama,Americas,942083,21833.925,0,0,0,8395,194.564,0,0,0,,
Ecuador,Americas,940179,5328.89,7773,44.057,0,35781,202.805,9,0.051,0,,
Mongolia,Western Pacific,937971,28611.593,6811,207.761,228,2119,64.637,0,0,0,,
Latvia,Europe,855249,44832.008,8838,463.286,264,5879,308.176,4,0.21,0,,
Puerto Rico,Americas,827224,28915.292,8973,313.648,0,4708,164.566,27,0.944,0,,
Saudi Arabia,Eastern Mediterranean,807591,2319.739,3827,10.993,376,9239,26.538,7,0.02,1,,
Azerbaijan,Europe,796474,7855.412,1886,18.601,333,9735,96.014,12,0.118,0,,
Paraguay,Americas,688820,9657.432,0,0,0,19083,267.549,0,0,0,,
